PO_Date,PO_Number,Item_ID,Item_Description,Manufacturer_Name,Manufacturer_ID,Lowest_Unit_Of_Measure,Purchasing_Unit_Of_Measure,Vendor_Name,Vendor_ID,Vendor_City,Vendor_Active_Status,Contract_ID,Contract_Description,Contract_Type,Contract_Start_Date,Contract_End_Date,Contract_Price(Million) ,Contract_UOM,Unit_Of_Measure,Unit_Of_Measure_In_Number,Quantity_(at_UOM),Price_Per_UOM ($),Total_Price ($),Department
14-12-2022,PO0077,IT22,Oxygen Mask,Ribbel International Ltd,378,PK50,PK50,Rivet,V672,Los Angeles,Yes,1002,est congue,FP,08-05-2021,04-05-2022,19,80,PK50,50,19,600,11400,Nursing Department
02-07-2022,PO0078,IT23,Dropper,Advin Healthcare,324,EA,EA,FGA Inc,V522,Chicago,Yes,1003,pellentesque volutpat,TM,26-02-2021,31-07-2022,16,70,EA,1,38,1,38,Surgical Department
25-09-2021,PO0079,IT24,Needle,Aegis Lifesciences Private Limited,398,PK50,PK50,Quadax Inc,V797,Phoenix,Yes,1004,morbi,FP,12-05-2021,12-11-2022,1,28,PK50,50,41,250,10250,Surgical Department
23-12-2021,PO0080,IT25,Cane,Smiths Medical,365,EA,EA,OmniSys,V486,Houston,Yes,1005,libero,FP,23-07-2021,17-08-2022,9,28,EA,1,33,10,330,Surgical Department
05-01-2022,PO0081,IT26,Surgical Clamps,Cardinal Health,372,EA,EA,Etactics,V658,Oklahoma City,Yes,1006,duis faucibus,TM,30-05-2021,07-02-2023,15,61,EA,1,15,35,525,Surgical Department
25-12-2021,PO0082,IT27,Forceps,Becton Dickinson,390,DZ,DZ,HealthXNet,V565,Denver,Yes,1007,convallis,TM,06-10-2021,21-09-2022,11,14,DZ,12,37,180,6660,Surgical Department
19-04-2022,PO0083,IT28,Surgical Table,General Electric,350,EA,EA,CompMed,V453,Salt Lake City,Yes,1008,mattis egestas metus,FP,22-04-2021,05-01-2023,20,13,EA,1,40,1600,64000,Nursing Department
29-09-2021,PO0084,IT29,Utility Table,Medtronic PLC,335,EA,EA,Ritiko LLC,V878,Miami,Yes,1009,tincidunt,FP,18-03-2021,02-10-2022,14,42,EA,1,6,60,360,Outpatient Department
29-12-2022,PO0085,IT30,Instrument Table,Siemens Healthineers,307,EA,EA,Ability Network,V222,Atlanta,Yes,1010,aenean fermentum,FP,12-06-2021,10-12-2022,9,22,EA,1,49,60,2940,Nursing Department
20-07-2021,PO0086,IT31,Ventilator,Johnson & Johnson,301,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,20,7,EA,1,27,3000,81000,Surgical Department
11-08-2022,PO0087,IT32,Mayo Stands,Teleflex,315,EA,EA,Noble House,V624,Dallas,Yes,1012,massa volutpat convallis,TM,13-06-2021,17-01-2023,6,91,EA,1,45,85,3825,Paramedical Department
30-10-2022,PO0088,IT33,Kickbuckets,3M Company,372,EA,EA,eSolutions,V090,Charlotte,No,1013,enim,TM,24-01-2021,31-11-2021,15,37,EA,1,38,15,570,Paramedical Department
29-11-2022,PO0089,IT34,Arm Supports,Terumo,351,EA,EA,Experian Health Inc,V501,New York,Yes,1014,pretium quis lectus,TM,06-07-2021,01-08-2022,16,29,EA,1,27,5,135,Paramedical Department
13-11-2022,PO0090,IT35,Medical Syringe Infusion,Nipro,347,EA,EA,Eligible Inc,V213,Chicago,Yes,1015,sagittis sapien cum,FP,20-01-2021,07-10-2022,18,23,EA,1,45,250,11250,Outpatient Department
02-09-2021,PO0091,IT36,Pacemakers,Poly Medicure Ltd,318,EA,EA,Cerner Health Services HDX,V928,San Antonio,Yes,1016,metus sapien,FP,29-05-2021,29-08-2022,3,37,EA,1,26,1200,31200,Nursing Department
31-08-2022,PO0092,IT37,Defibrillators,Ribbel International Ltd,378,EA,EA,myhELO,V653,Salt Lake City,Yes,1017,in hac habitasse platea,FP,28-07-2021,06-11-2022,14,61,EA,1,12,1500,18000,Radiology Department
12-07-2021,PO0093,IT38,Wheelchairs,Advin Healthcare,324,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,18,17,EA,1,1,80,80,Paramedical Department
19-03-2022,PO0094,IT39,Traction Equipment,Aegis Lifesciences Private Limited,398,EA,EA,Toyon Associates Inc,V305,New York,Yes,1019,quam pharetra magna ac,FP,16-10-2021,02-12-2022,17,12,EA,1,50,165,8250,Outpatient Department
10-04-2022,PO0095,IT40,Needle Holder,Smiths Medical,365,PK50,PK50,Healthcare IP,V425,Denver,Yes,1020,viverra dapibus,CR,28-04-2021,25-10-2022,13,95,PK50,50,15,1250,18750,Nursing Department
28-10-2021,PO0096,IT41,Medicine Cup,Cardinal Health,372,EA,EA,WellSky,V135,New York,Yes,1001,enim in,TM,29-06-2021,26-11-2022,12,84,EA,1,4,5,20,Surgical Department
03-02-2022,PO0097,IT42,Gauze,Becton Dickinson,390,EA,EA,Rivet,V672,Los Angeles,Yes,1002,est congue,FP,08-05-2021,04-05-2022,24,10,EA,1,32,7,224,Paramedical Department
19-08-2022,PO0098,IT43,Forceps,General Electric,350,DZ,DZ,FGA Inc,V522,Chicago,Yes,1003,pellentesque volutpat,TM,26-02-2021,31-07-2022,6,76,DZ,12,27,180,4860,Radiology Department
05-12-2021,PO0099,IT44,Trays,Medtronic PLC,335,EA,EA,Quadax Inc,V797,Phoenix,Yes,1004,morbi,FP,12-05-2021,12-11-2022,20,67,EA,1,43,10,430,Nursing Department
22-09-2021,PO0100,IT45,Cotton Swabs,Siemens Healthineers,307,PK100,PK100,OmniSys,V486,Houston,Yes,1005,libero,FP,23-07-2021,17-08-2022,4,60,PK100,100,45,100,4500,Nursing Department
05-07-2022,PO0101,IT46,Surgical lights,Johnson & Johnson,301,EA,EA,Etactics,V658,Oklahoma City,Yes,1006,duis faucibus,TM,30-05-2021,07-02-2023,17,75,EA,1,44,2000,88000,Nursing Department
29-11-2022,PO0102,IT47,Anesthesia machine,Teleflex,315,EA,EA,HealthXNet,V565,Denver,Yes,1007,convallis,TM,06-10-2021,21-09-2022,13,14,EA,1,15,875,13125,Surgical Department
19-04-2022,PO0103,IT48,Walkers,3M Company,372,EA,EA,CompMed,V453,Salt Lake City,Yes,1008,mattis egestas metus,FP,22-04-2021,05-01-2023,21,95,EA,1,31,20,620,Outpatient Department
05-10-2021,PO0104,IT49,Tourniquet,Terumo,351,EA,EA,Ritiko LLC,V878,Miami,Yes,1009,tincidunt,FP,18-03-2021,02-10-2022,20,85,EA,1,12,260,3120,Outpatient Department
30-07-2022,PO0105,IT50,Splints,Nipro,347,EA,EA,Ability Network,V222,Atlanta,Yes,1010,aenean fermentum,FP,12-06-2021,10-12-2022,21,74,EA,1,14,12,168,Outpatient Department
18-05-2021,PO0106,IT51,Slings,Poly Medicure Ltd,318,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,14,60,EA,1,41,7,287,Outpatient Department
04-11-2021,PO0107,IT52,ECG Machine,Ribbel International Ltd,378,EA,EA,Noble House,V624,Dallas,Yes,1012,massa volutpat convallis,TM,13-06-2021,17-01-2023,24,82,EA,1,6,300,1800,Surgical Department
10-12-2022,PO0108,IT53,Nebulizers,Advin Healthcare,324,EA,EA,eSolutions,V090,Charlotte,No,1013,enim,TM,24-01-2021,31-11-2021,22,31,EA,1,9,15,135,Surgical Department
18-03-2022,PO0109,IT54,Sutures,Aegis Lifesciences Private Limited,398,EA,EA,Experian Health Inc,V501,New York,Yes,1014,pretium quis lectus,TM,06-07-2021,01-08-2022,22,23,EA,1,26,12,312,Surgical Department
28-11-2022,PO0110,IT55,Braces,Smiths Medical,365,EA,EA,Eligible Inc,V213,Chicago,Yes,1015,sagittis sapien cum,FP,20-01-2021,07-10-2022,4,41,EA,1,8,60,480,Paramedical Department
25-06-2022,PO0111,IT1,Stethscope,Johnson & Johnson,301,EA,EA,WellSky,V135,New York,Yes,1001,enim in,TM,29-06-2021,26-11-2022,21,48,EA,1,7,150,1050,Nursing Department
23-03-2022,PO0112,IT2,Scissor,Teleflex,315,DZ,DZ,Rivet,V672,Los Angeles,Yes,1002,est congue,FP,08-05-2021,04-05-2022,21,64,DZ,12,9,60,540,Surgical Department
13-04-2022,PO0113,IT3,Stretcher,3M Company,372,EA,EA,FGA Inc,V522,Chicago,Yes,1003,pellentesque volutpat,TM,26-02-2021,31-07-2022,21,96,EA,1,5,2000,10000,Paramedical Department
21-05-2022,PO0114,IT4,Magnifier,Terumo,351,EA,EA,Quadax Inc,V797,Phoenix,Yes,1004,morbi,FP,12-05-2021,12-11-2022,2,99,EA,1,36,8,288,Outpatient Department
24-02-2022,PO0115,IT5,Weighing Scale,Nipro,347,EA,EA,OmniSys,V486,Houston,Yes,1005,libero,FP,23-07-2021,17-08-2022,2,93,EA,1,18,20,360,Surgical Department
29-05-2022,PO0116,IT6,Torch,Poly Medicure Ltd,318,EA,EA,Etactics,V658,Oklahoma City,Yes,1006,duis faucibus,TM,30-05-2021,07-02-2023,2,76,EA,1,47,5,235,Nursing Department
09-12-2021,PO0117,IT7,Face Mask,Ribbel International Ltd,378,PK100,PK100,HealthXNet,V565,Denver,Yes,1007,convallis,TM,06-10-2021,21-09-2022,10,39,PK100,100,36,100,3600,Nursing Department
26-01-2022,PO0118,IT8,First Aid Kit,Advin Healthcare,324,EA,EA,CompMed,V453,Salt Lake City,Yes,1008,mattis egestas metus,FP,22-04-2021,05-01-2023,15,72,EA,1,21,10,210,Nursing Department
15-12-2021,PO0119,IT9,Gloves,Aegis Lifesciences Private Limited,398,PK100,PK100,Ritiko LLC,V878,Miami,Yes,1009,tincidunt,FP,18-03-2021,02-10-2022,16,17,PK100,100,49,200,9800,Nursing Department
13-12-2022,PO0120,IT10,Scalpel,Smiths Medical,365,EA,EA,Ability Network,V222,Atlanta,Yes,1010,aenean fermentum,FP,12-06-2021,10-12-2022,13,46,EA,1,23,5,115,Outpatient Department
15-04-2021,PO0121,IT11,Microscope,Cardinal Health,372,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,1,94,EA,1,40,1200,48000,Nursing Department
21-09-2021,PO0122,IT12,Otoscope,Becton Dickinson,390,EA,EA,Noble House,V624,Dallas,Yes,1012,massa volutpat convallis,TM,13-06-2021,17-01-2023,20,68,EA,1,46,150,6900,Nursing Department
19-08-2022,PO0123,IT13,Thermometer,General Electric,350,EA,EA,eSolutions,V090,Charlotte,No,1013,enim,TM,24-01-2021,31-11-2021,20,7,EA,1,32,35,1120,Nursing Department
24-06-2021,PO0124,IT14,Saline Bag,Medtronic PLC,335,DZ,DZ,Experian Health Inc,V501,New York,Yes,1014,pretium quis lectus,TM,06-07-2021,01-08-2022,22,39,DZ,12,6,144,864,Surgical Department
