PO_Date,PO_Number,Item_ID,Item_Description,Item_Type,Manufacturer_Name,Manufacturer_ID,Lowest_Unit_Of_Measure,Purchasing_Unit_Of_Measure,Vendor_Name,Vendor_ID,Vendor_Country,Vendor_State,Vendor_City,Vendor_Active_Status,Contract_ID,Contract_Description,Contract_Type,Contract_Start_Date,Contract_End_Date,Contract_Status,Contract_Price,Contract_UOM,Unit_Of_Measure,Unit_Of_Measure_In_Number,Quantity_At_UOM,Price_Per_UOM,Total_Price,Department,Budget,Requestor
22-04-2021,PO0017,IT17,Bandage,Consumable,Teleflex,315,DZ,DZ,AmerisourceBergen,V501,USA,Georgia,Atlanta,Yes,1014,in hac habitasse platea,Time And Material,24-01-2021,01-08-2022,In Contract,5,95,DZ,12,15,21,315,Radiology Department,50000000,Ashly Shore
03-02-2022,PO0018,IT18,Crutches,Non-Consumable,3M Company,372,EA,EA,Grifols,V213,USA,Utah,Salt Lake City,Yes,1015,quam pharetra magna ac,Fixed Price,06-07-2021,07-10-2022,In Contract,23,82,EA,1,7,13.5,94.5,Surgical Department,50000000,Tim Giles
05-09-2021,PO0019,IT19,Plaster,Consumable,Terumo,351,EA,EA,Axiom,V928,USA,Texas,Dallas,Yes,1016,asd sft sgs,Time And Material,20-01-2021,29-08-2022,In Contract,16,2,EA,1,11,9,99,Outpatient Department,50000000,Helaina Hammersley
06-11-2022,PO0020,IT20,Cotton Wool,Consumable,Nipro,347,DZ,DZ,Teleflex Medical,V653,USA,North Carolina,Charlotte,Yes,1017,sg vdh ddv,Cost Reimbursement,29-05-2021,06-11-2022,In Contract,13,2,DZ,12,19,21,399,Radiology Department,50000000,Nico Jollands
30-05-2022,PO0021,IT21,Surgical Mask,Consumable,Abbott,318,DZ,PK100,LAC Healthcare Solutions,V135,USA,New York ,New York City,Yes,1001,enim in,Fixed Price,29-06-2021,26-11-2022,In Contract,16,30,PK100,100,41,175,7175,Surgical Department,50000000,Alie Gorey
02-04-2022,PO0022,IT22,Oxygen Mask,Consumable,Becton Dickinson,390,DZ,DZ,Becton Dickinson,V305,USA,Texas,San Antonio,No,1018,gfjb dghg the,Cost Reimbursement,00-00-0000,00-00-0000,Out of Contract,19,80,DZ,12,22,21,462,Surgical Department,50000000,Tim Giles
22-10-2021,PO0023,IT23,Dropper,Consumable,Advin Healthcare,324,EA,EA,CVS Health,V522,USA,Illinois,Chicago,Yes,1003,pellentesque volutpat,Fixed Price,26-02-2021,31-07-2022,In Contract,16,70,EA,1,45,1,45,Nursing Department,50000000,Devin Teml
31-07-2021,PO0024,IT24,Needle,Consumable,Aegis Lifesciences Private Limited,398,PK50,PK50,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,1,28,PK50,50,7,90,630,Surgical Department,50000000,Alana Rich
25-01-2022,PO0025,IT25,Cane,Non-Consumable,Smiths Medical,365,EA,EA,Health Products For You,V486,USA,Texas,Houston,Yes,1005,libero,Fixed Price,23-07-2021,17-08-2022,In Contract,9,28,EA,1,47,10,470,Surgical Department,50000000,Lynn Gilvear
27-05-2021,PO0026,IT26,Surgical Clamps,Consumable,Cardinal Health,372,EA,EA,Owens & Minor Inc.,V658,USA,Texas,Oklahoma City,Yes,1006,duis faucibus,Time And Material,30-05-2021,07-02-2023,In Contract,15,61,EA,1,38,35,1330,Surgical Department,50000000,Tim Giles
24-09-2022,PO0027,IT27,Forceps,Consumable,Medtronic,335,DZ,DZ,Medtronic,V672,USA,California,Los Angeles,Yes,1002,est congue,Time And Material,08-05-2021,04-05-2022,In Contract,11,14,DZ,12,24,21.6,518.4,Outpatient Department,50000000,Wilmar Bignold
30-06-2021,PO0028,IT28,Surgical Table,Non-Consumable,General Electric,350,EA,EA,McKesson,V425,USA,Texas,Houston,Yes,1019,erfcgf,Fixed Price,16-10-2021,25-10-2022,In Contract,20,13,EA,1,2,1650,3300,Radiology Department,50000000,Ashly Shore
09-05-2022,PO0029,IT29,Utility Table,Non-Consumable,Medtronic,335,EA,EA,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,14,42,EA,1,11,67,737,Surgical Department,50000000,Phillipp Daen
13-08-2022,PO0030,IT30,Instrument Table,Non-Consumable,Siemens Healthineers,307,EA,EA,Henry Schein,V565,USA,Colorado,Denver,Yes,1007,convallis,Fixed Price,30-05-2021,21-09-2022,In Contract,9,22,EA,1,18,60,1080,Surgical Department,50000000,Alana Rich
14-06-2022,PO0031,IT31,Ventilator,Non-Consumable,Johnson & Johnson,301,EA,EA,Cardinal Health,V453,USA,Utah,Salt Lake City,Yes,1008,mattis egestas metus,Time And Material,06-10-2021,05-01-2023,In Contract,20,7,EA,1,24,2950,70800,Paramedical Department,50000000,Lion Philimore
05-05-2021,PO0032,IT32,Mayo Stands,Non-Consumable,Johnson & Johnson,301,EA,EA,Johnson & Johnson,V878,USA,Florida,Miami,Yes,1009,mattis egestas metus,Time And Material,22-04-2021,02-10-2022,In Contract,6,91,EA,1,41,85,3485,Outpatient Department,50000000,Wilmar Bignold
22-08-2021,PO0033,IT33,Kickbuckets,Non-Consumable,Abbott,318,EA,EA,Abbott,V222,USA,Illinois,Chicago,Yes,1010,enim,Fixed Price,01-03-2021,30-11-2021,In Contract,15,37,EA,1,16,12,192,Nursing Department,50000000,Stephanie Crohan
10-10-2021,PO0034,IT34,Arm Supports,Non-Consumable,Terumo,351,EA,EA,Vitality Medical,V971,USA,North Carolina,Charlotte,Yes,1011,pretium quis lectus,Fixed Price,12-06-2021,19-11-2022,In Contract,16,29,EA,1,16,5,80,Paramedical Department,50000000,Lion Philimore
12-08-2022,PO0035,IT35,Medical Syringe Infusion,Consumable,Nipro,347,EA,EA,Halyard health,V624,USA,California,Los Angeles,Yes,1012,sagittis sapien cum,Time And Material,14-11-2021,17-01-2023,In Contract,18,23,EA,1,31,250,7750,Surgical Department,50000000,Alie Gorey
05-10-2022,PO0036,IT36,Pacemakers,Consumable,Abbott,318,EA,EA,Stryker,V090,USA,New York ,New York City,Yes,1013,metus sapien,Fixed Price,13-06-2021,30-11-2021,In Contract,3,37,EA,1,12,1250,15000,Paramedical Department,50000000,Lilly Ondricek
26-01-2022,PO0037,IT37,Defibrillators,Non-Consumable,Ribbel International Ltd,378,EA,EA,AmerisourceBergen,V501,USA,Georgia,Atlanta,Yes,1014,in hac habitasse platea,Time And Material,24-01-2021,01-08-2022,In Contract,14,61,EA,1,47,1520,71440,Outpatient Department,50000000,Wilmar Bignold
03-10-2021,PO0038,IT38,Wheelchairs,Non-Consumable,Advin Healthcare,324,EA,EA,Cardinal Health,V453,USA,Utah,Salt Lake City,Yes,1008,mattis egestas metus,Time And Material,06-10-2021,05-01-2023,In Contract,18,17,EA,1,17,85,1445,Surgical Department,50000000,Tim Giles
07-09-2022,PO0039,IT39,Traction Equipment,Non-Consumable,Aegis Lifesciences Private Limited,398,EA,EA,Axiom,V928,USA,Texas,Dallas,Yes,1016,asd sft sgs,Time And Material,20-01-2021,29-08-2022,In Contract,17,12,EA,1,29,169,4901,Nursing Department,50000000,Stephanie Crohan
18-07-2021,PO0040,IT40,Needle Holder,Consumable,Smiths Medical,365,DZ,PK50,Teleflex Medical,V653,USA,North Carolina,Charlotte,Yes,1017,sg vdh ddv,Cost Reimbursement,29-05-2021,06-11-2022,In Contract,13,95,PK50,50,8,1250,10000,Nursing Department,50000000,Devin Teml
09-06-2021,PO0041,IT41,Medicine Cup,Consumable,Cardinal Health,372,EA,EA,LAC Healthcare Solutions,V135,USA,New York ,New York City,Yes,1001,enim in,Fixed Price,29-06-2021,26-11-2022,In Contract,12,84,EA,1,7,5,35,Surgical Department,50000000,Lynn Gilvear
21-08-2021,PO0042,IT42,Gauze,Consumable,Becton Dickinson,390,EA,EA,Becton Dickinson,V305,USA,Texas,San Antonio,No,1018,gfjb dghg the,Cost Reimbursement,00-00-0000,00-00-0000,Out of Contract,24,10,EA,1,42,7,294,Nursing Department,50000000,Stephanie Crohan
04-10-2022,PO0043,IT43,Forceps,Consumable,General Electric,350,DZ,DZ,CVS Health,V522,USA,Illinois,Chicago,Yes,1003,pellentesque volutpat,Fixed Price,26-02-2021,31-07-2022,In Contract,6,76,DZ,12,20,180,3600,Surgical Department,50000000,Tim Giles
10-09-2021,PO0044,IT44,Trays,Consumable,Medtronic,335,EA,EA,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,20,67,EA,1,35,12,420,Nursing Department,50000000,Devin Teml
01-10-2021,PO0045,IT45,Cotton Swabs,Consumable,Siemens Healthineers,307,PK50,PK100,Health Products For You,V486,USA,Texas,Houston,Yes,1005,libero,Fixed Price,23-07-2021,17-08-2022,In Contract,4,60,PK100,100,20,100,2000,Nursing Department,50000000,Stephanie Crohan
27-04-2021,PO0046,IT46,Surgical lights,Non-Consumable,Johnson & Johnson,301,EA,EA,Owens & Minor Inc.,V658,USA,Texas,Oklahoma City,Yes,1006,duis faucibus,Time And Material,30-05-2021,07-02-2023,In Contract,17,75,EA,1,44,1800,79200,Radiology Department,50000000,Ashly Shore
25-10-2022,PO0047,IT47,Anesthesia machine,Non-Consumable,Medtronic,335,EA,EA,Medtronic,V672,USA,California,Los Angeles,Yes,1002,est congue,Time And Material,08-05-2021,04-05-2022,In Contract,13,14,EA,1,4,850,3400,Surgical Department,50000000,Tim Giles
17-10-2022,PO0048,IT48,Walkers,Non-Consumable,3M Company,372,EA,EA,McKesson,V425,USA,Texas,Houston,Yes,1019,erfcgf,Fixed Price,16-10-2021,25-10-2022,In Contract,21,95,EA,1,5,22,110,Radiology Department,50000000,Nico Jollands
15-11-2022,PO0049,IT49,Tourniquet,Consumable,Terumo,351,EA,EA,Medline,V754,USA,Utah,Salt Lake City,Yes,1020,viverra dapibus,Fixed Price,28-04-2021,26-10-2022,In Contract,20,85,EA,1,37,267,9879,Nursing Department,50000000,Stephanie Crohan
23-05-2022,PO0050,IT50,Splints,Consumable,Nipro,347,EA,EA,Henry Schein,V565,USA,Colorado,Denver,Yes,1007,convallis,Fixed Price,30-05-2021,21-09-2022,In Contract,21,74,EA,1,8,12,96,Paramedical Department,50000000,Lion Philimore
26-06-2021,PO0051,IT51,Slings,Consumable,Abbott,318,EA,EA,Cardinal Health,V453,USA,Utah,Salt Lake City,Yes,1008,mattis egestas metus,Time And Material,06-10-2021,05-01-2023,In Contract,14,60,EA,1,30,8,240,Nursing Department,50000000,Selina MacDwyer
08-08-2021,PO0052,IT52,ECG Machine,Non-Consumable,Johnson & Johnson,301,EA,EA,Johnson & Johnson,V878,USA,Florida,Miami,Yes,1009,mattis egestas metus,Time And Material,22-04-2021,02-10-2022,In Contract,24,82,EA,1,18,300,5400,Outpatient Department,50000000,Calvin Graben
04-07-2021,PO0053,IT53,Nebulizers,Non-Consumable,Abbott,318,EA,EA,Abbott,V222,USA,Illinois,Chicago,Yes,1010,enim,Fixed Price,01-03-2021,30-11-2021,In Contract,22,31,EA,1,2,15,30,Paramedical Department,50000000,Lilly Ondricek
02-05-2021,PO0054,IT54,Sutures,Consumable,Aegis Lifesciences Private Limited,398,EA,EA,Vitality Medical,V971,USA,North Carolina,Charlotte,Yes,1011,pretium quis lectus,Fixed Price,12-06-2021,19-11-2022,In Contract,22,23,EA,1,3,11,33,Radiology Department,50000000,Ashly Shore
11-12-2022,PO0055,IT55,Braces,Consumable,Smiths Medical,365,EA,EA,Halyard health,V624,USA,California,Los Angeles,Yes,1012,sagittis sapien cum,Time And Material,14-11-2021,17-01-2023,In Contract,4,41,EA,1,5,55,275,Nursing Department,50000000,Devin Teml
20-10-2022,PO0056,IT1,Stethscope,Non-Consumable,Johnson & Johnson,301,EA,EA,LAC Healthcare Solutions,V135,USA,New York ,New York City,Yes,1001,enim in,Fixed Price,29-06-2021,26-11-2022,In Contract,21,48,EA,1,27,150,4050,Surgical Department,50000000,Alie Gorey
18-12-2021,PO0057,IT2,Scissor,Non-Consumable,Medtronic,335,DZ,DZ,Medtronic,V672,USA,California,Los Angeles,Yes,1002,est congue,Time And Material,08-05-2021,04-05-2022,In Contract,21,64,DZ,12,17,60,1020,Nursing Department,50000000,Stephanie Crohan
30-03-2022,PO0058,IT3,Stretcher,Non-Consumable,3M Company,372,EA,EA,CVS Health,V522,USA,Illinois,Chicago,Yes,1003,pellentesque volutpat,Fixed Price,26-02-2021,31-07-2022,In Contract,21,96,EA,1,47,2000,94000,Nursing Department,50000000,Stephanie Crohan
09-02-2022,PO0059,IT4,Magnifier,Non-Consumable,Terumo,351,EA,EA,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,2,99,EA,1,22,7.5,165,Paramedical Department,50000000,Lion Philimore
11-02-2022,PO0060,IT5,Weighing Scale,Non-Consumable,Nipro,347,EA,EA,Health Products For You,V486,USA,Texas,Houston,Yes,1005,libero,Fixed Price,23-07-2021,17-08-2022,In Contract,2,93,EA,1,10,20,200,Paramedical Department,50000000,Lilly Ondricek
14-07-2021,PO0061,IT6,Torch,Non-Consumable,Abbott,318,EA,EA,Owens & Minor Inc.,V658,USA,Texas,Oklahoma City,Yes,1006,duis faucibus,Time And Material,30-05-2021,07-02-2023,In Contract,2,76,EA,1,14,5,70,Paramedical Department,50000000,Lion Philimore
06-03-2022,PO0062,IT7,Face Mask,Consumable,Medtronic,335,PK50,PK50,Medtronic,V672,USA,California,Los Angeles,Yes,1002,est congue,Time And Material,08-05-2021,04-05-2022,In Contract,10,39,PK50,50,18,47,846,Nursing Department,50000000,Alvinia Toffoloni
21-12-2021,PO0063,IT8,First Aid Kit,Consumable,Advin Healthcare,324,EA,EA,CVS Health,V522,USA,Illinois,Chicago,Yes,1003,pellentesque volutpat,Fixed Price,26-02-2021,31-07-2022,In Contract,15,72,EA,1,18,10,180,Paramedical Department,50000000,Lion Philimore
06-05-2022,PO0064,IT9,Gloves,Consumable,Aegis Lifesciences Private Limited,398,PK50,PK50,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,16,17,PK50,50,22,99,2178,Radiology Department,50000000,Ashly Shore
06-03-2022,PO0065,IT10,Scalpel,Consumable,Smiths Medical,365,EA,EA,Henry Schein,V565,USA,Colorado,Denver,Yes,1007,convallis,Fixed Price,30-05-2021,21-09-2022,In Contract,13,46,EA,1,22,5,110,Paramedical Department,50000000,Lilly Ondricek
17-03-2022,PO0066,IT11,Microscope,Non-Consumable,Cardinal Health,372,EA,EA,Cardinal Health,V453,USA,Utah,Salt Lake City,Yes,1008,mattis egestas metus,Time And Material,06-10-2021,05-01-2023,In Contract,1,94,EA,1,9,1180,10620,Surgical Department,50000000,Lynn Gilvear
04-05-2022,PO0067,IT12,Otoscope,Non-Consumable,Johnson & Johnson,301,EA,EA,Johnson & Johnson,V878,USA,Florida,Miami,Yes,1009,mattis egestas metus,Time And Material,22-04-2021,02-10-2022,In Contract,20,68,EA,1,2,145,290,Surgical Department,50000000,Tim Giles
21-02-2022,PO0068,IT13,Thermometer,Non-Consumable,Abbott,318,EA,EA,Abbott,V222,USA,Illinois,Chicago,No,1010,enim,Fixed Price,01-03-2021,30-11-2021,Contract Expired,20,7,EA,1,15,35,525,Nursing Department,50000000,Stephanie Crohan
04-12-2022,PO0069,IT14,Saline Bag,Consumable,Medtronic,335,DZ,DZ,Vitality Medical,V971,USA,North Carolina,Charlotte,Yes,1011,pretium quis lectus,Fixed Price,12-06-2021,19-11-2022,In Contract,22,39,DZ,12,18,142,2556,Nursing Department,50000000,Devin Teml
23-06-2022,PO0070,IT15,Syringe,Consumable,Siemens Healthineers,307,DZ,PK100,Halyard health,V624,USA,California,Los Angeles,Yes,1012,sagittis sapien cum,Time And Material,14-11-2021,17-01-2023,In Contract,22,99,PK100,100,20,3500,70000,Surgical Department,50000000,Lynn Gilvear
02-10-2021,PO0071,IT16,X-ray Machine,Non-Consumable,Johnson & Johnson,301,EA,EA,Stryker,V090,USA,New York ,New York City,Yes,1013,metus sapien,Fixed Price,13-06-2021,30-11-2021,In Contract,13,96,EA,1,22,2000,44000,Paramedical Department,50000000,Lilly Ondricek
28-01-2022,PO0072,IT17,Bandage,Consumable,Teleflex,315,DZ,PK100,AmerisourceBergen,V501,USA,Georgia,Atlanta,Yes,1014,in hac habitasse platea,Time And Material,24-01-2021,01-08-2022,In Contract,5,95,PK100,100,24,175,4200,Outpatient Department,50000000,Helaina Hammersley
30-11-2022,PO0073,IT18,Crutches,Non-Consumable,3M Company,372,EA,EA,Grifols,V213,USA,Utah,Salt Lake City,Yes,1015,quam pharetra magna ac,Fixed Price,06-07-2021,07-10-2022,In Contract,23,82,EA,1,39,13.5,526.5,Paramedical Department,50000000,Lion Philimore
28-09-2021,PO0074,IT19,Plaster,Consumable,Terumo,351,EA,EA,Axiom,V928,USA,Texas,Dallas,Yes,1016,asd sft sgs,Time And Material,20-01-2021,29-08-2022,In Contract,16,2,EA,1,14,9,126,Nursing Department,50000000,Devin Teml
06-07-2022,PO0075,IT20,Cotton Wool,Consumable,Nipro,347,DZ,DZ,Teleflex Medical,V653,USA,North Carolina,Charlotte,Yes,1017,sg vdh ddv,Cost Reimbursement,29-05-2021,06-11-2022,In Contract,13,2,DZ,12,33,21,693,Nursing Department,50000000,Alvinia Toffoloni
18-03-2022,PO0076,IT21,Surgical Mask,Consumable,Abbott,318,DZ,PK100,LAC Healthcare Solutions,V135,USA,New York ,New York City,Yes,1001,enim in,Fixed Price,29-06-2021,26-11-2022,In Contract,16,30,PK100,100,40,175,7000,Surgical Department,50000000,Tim Giles
14-12-2022,PO0077,IT22,Oxygen Mask,Consumable,Becton Dickinson,390,DZ,PK50,Becton Dickinson,V305,USA,Texas,San Antonio,No,1018,gfjb dghg the,Cost Reimbursement,00-00-0000,00-00-0000,Out of Contract,19,80,PK50,50,19,87.5,1662.5,Nursing Department,50000000,Stephanie Crohan
02-07-2022,PO0078,IT23,Dropper,Consumable,Advin Healthcare,324,EA,EA,CVS Health,V522,USA,Illinois,Chicago,Yes,1003,pellentesque volutpat,Fixed Price,26-02-2021,31-07-2022,In Contract,16,70,EA,1,38,1,38,Surgical Department,50000000,Phillipp Daen
25-09-2021,PO0079,IT24,Needle,Consumable,Aegis Lifesciences Private Limited,398,PK50,PK50,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,1,28,PK50,50,41,90,3690,Surgical Department,50000000,Phillipp Daen
23-12-2021,PO0080,IT25,Cane,Non-Consumable,Smiths Medical,365,EA,EA,Health Products For You,V486,USA,Texas,Houston,Yes,1005,libero,Fixed Price,23-07-2021,17-08-2022,In Contract,9,28,EA,1,33,10,330,Surgical Department,50000000,Tim Giles
05-01-2022,PO0081,IT26,Surgical Clamps,Consumable,Cardinal Health,372,EA,EA,Owens & Minor Inc.,V658,USA,Texas,Oklahoma City,Yes,1006,duis faucibus,Time And Material,30-05-2021,07-02-2023,In Contract,15,61,EA,1,15,35,525,Surgical Department,50000000,Tim Giles
25-12-2021,PO0082,IT27,Forceps,Consumable,Medtronic,335,DZ,DZ,Medtronic,V672,USA,California,Los Angeles,Yes,1002,est congue,Time And Material,08-05-2021,04-05-2022,In Contract,11,14,DZ,12,37,21.6,799.2,Surgical Department,50000000,Alie Gorey
19-04-2022,PO0083,IT28,Surgical Table,Non-Consumable,General Electric,350,EA,EA,McKesson,V425,USA,Texas,Houston,Yes,1019,erfcgf,Fixed Price,16-10-2021,25-10-2022,In Contract,20,13,EA,1,40,1650,66000,Nursing Department,50000000,Selina MacDwyer
29-09-2021,PO0084,IT29,Utility Table,Non-Consumable,Medtronic,335,EA,EA,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,14,42,EA,1,6,67,402,Outpatient Department,50000000,Wilmar Bignold
29-12-2022,PO0085,IT30,Instrument Table,Non-Consumable,Siemens Healthineers,307,EA,EA,Henry Schein,V565,USA,Colorado,Denver,Yes,1007,convallis,Fixed Price,30-05-2021,21-09-2022,In Contract,9,22,EA,1,49,60,2940,Nursing Department,50000000,Devin Teml
20-07-2021,PO0086,IT31,Ventilator,Non-Consumable,Johnson & Johnson,301,EA,EA,Cardinal Health,V453,USA,Utah,Salt Lake City,Yes,1008,mattis egestas metus,Time And Material,06-10-2021,05-01-2023,In Contract,20,7,EA,1,27,2950,79650,Surgical Department,50000000,Tim Giles
11-08-2022,PO0087,IT32,Mayo Stands,Non-Consumable,Johnson & Johnson,301,EA,EA,Johnson & Johnson,V878,USA,Florida,Miami,Yes,1009,mattis egestas metus,Time And Material,22-04-2021,02-10-2022,In Contract,6,91,EA,1,45,85,3825,Paramedical Department,50000000,Merry Paz
30-10-2022,PO0088,IT33,Kickbuckets,Non-Consumable,Abbott,318,EA,EA,Abbott,V222,USA,Illinois,Chicago,No,1010,enim,Fixed Price,01-03-2021,30-11-2021,Contract Expired,15,37,EA,1,38,12,456,Paramedical Department,50000000,Merry Paz
29-11-2022,PO0089,IT34,Arm Supports,Non-Consumable,Terumo,351,EA,EA,Vitality Medical,V971,USA,North Carolina,Charlotte,Yes,1011,pretium quis lectus,Fixed Price,12-06-2021,19-11-2022,In Contract,16,29,EA,1,27,5,135,Paramedical Department,50000000,Lion Philimore
13-11-2022,PO0090,IT35,Medical Syringe Infusion,Consumable,Nipro,347,EA,EA,Halyard health,V624,USA,California,Los Angeles,Yes,1012,sagittis sapien cum,Time And Material,14-11-2021,17-01-2023,In Contract,18,23,EA,1,45,250,11250,Outpatient Department,50000000,Wilmar Bignold
02-09-2021,PO0091,IT36,Pacemakers,Consumable,Abbott,318,EA,EA,Stryker,V090,USA,New York ,New York City,Yes,1013,metus sapien,Fixed Price,13-06-2021,30-11-2021,In Contract,3,37,EA,1,26,1250,32500,Nursing Department,50000000,Devin Teml
31-08-2022,PO0092,IT37,Defibrillators,Non-Consumable,Ribbel International Ltd,378,EA,EA,AmerisourceBergen,V501,USA,Georgia,Atlanta,Yes,1014,in hac habitasse platea,Time And Material,24-01-2021,01-08-2022,In Contract,14,61,EA,1,12,1520,18240,Radiology Department,50000000,Nico Jollands
12-07-2021,PO0093,IT38,Wheelchairs,Non-Consumable,Advin Healthcare,324,EA,EA,Cardinal Health,V453,USA,Utah,Salt Lake City,Yes,1008,mattis egestas metus,Time And Material,06-10-2021,05-01-2023,In Contract,18,17,EA,1,1,85,85,Paramedical Department,50000000,Merry Paz
